ablation_type,ablation_percentage,mae,mse,rmse,r2,mae_degradation,mse_degradation,rmse_degradation,r2_degradation
MLP Ablation,0.0,0.6506374478340149,0.7050471901893616,0.8396708820659209,0.8508405685424805,0.0,0.0,0.0,0.0
MLP Ablation,0.1,0.6812636852264404,0.7556021213531494,0.86909553619714,0.8401452004909515,0.030626237392425537,0.05055493116378784,0.029424654131219086,0.01069536805152893
MLP Ablation,0.2,0.5924417674541473,0.6168826222419739,0.7853624757713394,0.8694926500320435,-0.058195680379867554,-0.0881645679473877,-0.054308406294581446,-0.01865208148956299
MLP Ablation,0.3,0.8225781321525574,1.0729193687438965,1.012268428012523,0.7730137407779694,0.17194068431854248,0.3678721785545349,0.17259754594660204,0.07782682776451111
MLP Ablation,0.4,0.6424406170845032,0.7416009902954102,0.8574159952290039,0.843107283115387,-0.008196830749511719,0.036553800106048584,0.017745113163083026,0.007733285427093506
MLP Ablation,0.5,0.7484045028686523,1.003385841846466,0.9931984242106605,0.7877242267131805,0.09776705503463745,0.2983386516571045,0.15352754214473963,0.06311634182929993
MLP Ablation,0.6,1.0069004595279694,1.7734264135360718,1.32616253277261,0.6248148679733276,0.35626301169395447,1.0683792233467102,0.4864916507066892,0.22602570056915283
MLP Ablation,0.7,0.8373234868049622,1.2475078701972961,1.1166888577869463,0.7360779047012329,0.18668603897094727,0.5424606800079346,0.2770179757210254,0.11476266384124756
MLP Ablation,0.8,1.1355934143066406,2.234153628349304,1.4946068439403581,0.5273436307907104,0.48495596647262573,1.5291064381599426,0.6549359618744373,0.32349693775177
MLP Ablation,0.9,1.123968482017517,2.289653182029724,1.4949018064401782,0.5156022012233734,0.4733310341835022,1.5846059918403625,0.6552309243742573,0.33523836731910706
Attention Ablation,0.0,0.6506374478340149,0.7050471901893616,0.8396708820659209,0.8508405685424805,0.0,0.0,0.0,0.0
Attention Ablation,0.1,0.6696680784225464,0.7250422239303589,0.8508438339831286,0.8466104567050934,0.019030630588531494,0.019995033740997314,0.011172951917207685,0.004230111837387085
Attention Ablation,0.2,0.7485212981700897,0.9304547011852264,0.9612194674586367,0.8031535148620605,0.09788385033607483,0.22540751099586487,0.12154858539271585,0.04768705368041992
Attention Ablation,0.3,0.7124738097190857,0.8593277037143707,0.9254583629916133,0.818201094865799,0.0618363618850708,0.15428051352500916,0.08578748092569244,0.03263947367668152
Attention Ablation,0.4,0.809929221868515,1.090844750404358,1.0442064903043673,0.7692214548587799,0.15929177403450012,0.38579756021499634,0.2045356082384464,0.08161911368370056
Attention Ablation,0.5,0.9602737724781036,1.6122105717658997,1.2484184553709912,0.6589215993881226,0.30963632464408875,0.9071633815765381,0.4087475733050703,0.1919189691543579
Attention Ablation,0.6,1.1187432706356049,2.1076170802116394,1.404655447388135,0.5541136562824249,0.46810582280158997,1.4025698900222778,0.5649845653222141,0.29672691226005554
Attention Ablation,0.7,1.0954037308692932,1.9281697273254395,1.3855109278917548,0.5920774340629578,0.4447662830352783,1.2231225371360779,0.5458400458258339,0.2587631344795227
Attention Ablation,0.8,1.3656906485557556,3.044647455215454,1.7133171946609669,0.35587605834007263,0.7150532007217407,2.3396002650260925,0.873646312595046,0.49496451020240784
Attention Ablation,0.9,1.5621457695960999,3.7749462723731995,1.8769308675696958,0.201374351978302,0.911508321762085,3.069899082183838,1.037259985503775,0.6494662165641785
Combined Ablation,0.0,0.6506374478340149,0.7050471901893616,0.8396708820659209,0.8508405685424805,0.0,0.0,0.0,0.0
Combined Ablation,0.1,0.7032859027385712,0.7733142673969269,0.8792755578713254,0.8363980352878571,0.052648454904556274,0.06826707720756531,0.0396046758054045,0.014442533254623413
Combined Ablation,0.2,0.7183973789215088,0.8895855844020844,0.9354000845935171,0.8117997348308563,0.0677599310874939,0.18453839421272278,0.0957292025275962,0.039040833711624146
Combined Ablation,0.3,0.7847757041454315,1.1071999371051788,1.0286905383087483,0.7657613754272461,0.13413825631141663,0.40215274691581726,0.18901965624282746,0.08507919311523438
Combined Ablation,0.4,0.8460332155227661,1.1980787515640259,1.0866518197205888,0.7465350925922394,0.19539576768875122,0.4930315613746643,0.2469809376546679,0.10430547595024109
Combined Ablation,0.5,1.0477409660816193,1.7479756474494934,1.3184499851641283,0.6301991939544678,0.39710351824760437,1.0429284572601318,0.47877910309820737,0.2206413745880127
Combined Ablation,0.6,1.182875394821167,2.2790464758872986,1.485568885530224,0.5178461372852325,0.5322379469871521,1.573999285697937,0.6458980034643031,0.3329944312572479
Combined Ablation,0.7,1.3180227279663086,2.653980791568756,1.6141544175566582,0.4385252594947815,0.6673852801322937,1.9489336013793945,0.7744835354907373,0.412315309047699
Combined Ablation,0.8,1.5600941181182861,3.7670607566833496,1.9146195825336803,0.20304268598556519,0.9094566702842712,3.062013566493988,1.0749487004677594,0.6477978825569153
Combined Ablation,0.9,1.665107786655426,4.048596143722534,1.9955710244423148,0.14348116517066956,1.0144703388214111,3.3435489535331726,1.155900142376394,0.7073594033718109
